n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits,total_memory_mb
2048,0.200000,0.100000,7843,96304,0.181851,0.125484,11970800.000000,94.900904,10537307.448124,103.928186,10008700.000000,9622028.834914,21979500.000000,174.246869,5738984.053322,0.004486,0.020111
2048,0.200000,0.200000,7843,96304,0.268285,0.112280,11970800.000000,94.900904,10537307.448124,102.948995,9914400.000000,9713547.970629,21885200.000000,173.499287,5763712.463217,0.003136,0.018761
2048,0.200000,0.001000,7843,96304,0.103848,0.136840,11970800.000000,94.900904,10537307.448124,104.065252,10021900.000000,9609355.511430,21992700.000000,174.351514,5735539.519932,0.013443,0.029068
2048,0.300000,0.010000,10974,102019,0.067627,0.184023,11970800.000000,94.900904,10537307.448124,105.322538,10744900.000000,9494643.970628,22715700.000000,180.083241,5552987.581276,0.012543,0.028168
2048,0.300000,0.050000,10974,102019,0.099226,0.178345,11970800.000000,94.900904,10537307.448124,105.729325,10786400.000000,9458113.921234,22757200.000000,180.412240,5542861.160424,0.008163,0.023788
2048,0.300000,0.100000,10974,102019,0.140592,0.169058,11970800.000000,94.900904,10537307.448124,103.833600,10593000.000000,9630793.920514,22563800.000000,178.879023,5590370.416331,0.006271,0.021896
2048,0.300000,0.200000,10974,102019,0.233640,0.151056,11970800.000000,94.900904,10537307.448124,101.485998,10353500.000000,9853576.085382,22324300.000000,176.980339,5650345.139601,0.004387,0.020012
2048,0.300000,0.001000,10974,102019,0.061381,0.185167,11970800.000000,94.900904,10537307.448124,103.099423,10518100.000000,9699375.362470,22488900.000000,178.285239,5608989.323622,0.018814,0.034439
2048,0.400000,0.010000,13899,105629,0.043647,0.226276,11970800.000000,94.900904,10537307.448124,105.472929,11141000.000000,9481105.825330,23111800.000000,183.223403,5457818.084269,0.015884,0.031509
2048,0.400000,0.050000,13899,105629,0.076165,0.217430,11970800.000000,94.900904,10537307.448124,105.818478,11177500.000000,9450145.381346,23148300.000000,183.512764,5449212.253168,0.010338,0.025963
2048,0.400000,0.100000,13899,105629,0.120634,0.208539,11970800.000000,94.900904,10537307.448124,104.990107,11090000.000000,9524706.943192,23060800.000000,182.819090,5469888.295289,0.007942,0.023567
2048,0.400000,0.200000,13899,105629,0.213846,0.187588,11970800.000000,94.900904,10537307.448124,105.380151,11131200.000000,9489453.068852,23102000.000000,183.145711,5460133.321790,0.005554,0.021179
2048,0.400000,0.001000,13899,105629,0.037933,0.227729,11970800.000000,94.900904,10537307.448124,103.929792,10978000.000000,9621880.123884,22948800.000000,181.931188,5496583.699366,0.023827,0.039452
2048,0.500000,0.010000,16662,108151,0.030574,0.267738,11970800.000000,94.900904,10537307.448124,105.702213,11431800.000000,9460539.897479,23402600.000000,185.528778,5389999.401776,0.019043,0.034668
2048,0.500000,0.050000,16662,108151,0.062541,0.258407,11970800.000000,94.900904,10537307.448124,108.707270,11756800.000000,9199016.739249,23727600.000000,188.105280,5316171.884219,0.012390,0.028015
2048,0.500000,0.100000,16662,108151,0.105705,0.246611,11970800.000000,94.900904,10537307.448124,104.330982,11283500.000000,9584880.577835,23254300.000000,184.353100,5424373.126691,0.009521,0.025146
2048,0.500000,0.200000,16662,108151,0.200329,0.220423,11970800.000000,94.900904,10537307.448124,101.512700,10978700.000000,9850984.178455,22949500.000000,181.936737,5496416.043923,0.006660,0.022285
